Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy,,
ID do Paciente,oersm:IdentificadorDeCadastro,??paciente,,schema:Interger,,,,,,,,,,
Nome do Paciente,oersm:NomeCompleto,??paciente,,,,,,,,,,,,
Grupo1_1_Sensacao de morte iminente  panico e/ou medo intenso,oersm:Questao,??questao,,,,,,,,,,,,
pontos_grupo1_1,oersm:Pontuacao,??questao,,schema:Interger,,,,,,,,,,
TOTAL,oersm:PontuacaoFinal,??elementoquestionario,,schema:Interger,,,,,,,,,,
RISCO,oersm:NivelDeRisco,??paciente,,,,,,,,,,,,
??questao,,,oersm:Questao,,,oersm:questaoPossui,oersm:OpcaoDeResposta,,,,,,,
??questao,,,oersm:Questao,,,oersm:fazParte,oersm:GrupoDeQuestao,,,,,,,
??questao,,,oersm:Questao,,,oersm:questaoPossui,oersm:Pontuacao,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:responde,oersm:Questao,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:PontuacaoFinal,,,,,,,
??elementoquestionario,,,oersm:ElementoQuestionario,,,oersm:temElementoQuestionario,oersm:Paciente,,,,,,,
??paciente,,,oersm:Paciente,,,oersm:pacientePossui,oersm:NivelDeRisco,,,,,,,
??nivelderisco,,,oersm:NivelDeRisco,,,oersm:nivelDeRiscoOrienta,oersm:ProjetoTerapeuticoSingular,,,,,,,
??projetoterapeuticosingular,,,oersm:ProjetoTerapeuticoSingular,,,oersm:projetoTerapeuticoSingularEFormadoPor,oersm:AcaoTerapeutica,,,,,,,
??nivelderiscoalto,,,oersm:NivelDeRiscoAlto,,,oersm:nivelDeRiscoOrienta,oersm:AtendimentoMedico,,,,,,,
??nivelderiscomedio,,,oersm:NivelDeRiscoMedio,,,oersm:nivelDeRiscoOrienta,oersm:AtendimentoMedico,,,,,,,
