Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
id_case,hasco:originalID,??finalquestionnaire,,schema:Interger,,,,,,,,
initial_questionnarie,ontriscal:FullName,??finalquestionnaire,,schema:String,,,,,,,,
DS1,ontriscal:Age,??finalquestionnaire,,schema:Interger,,,,,,,,
DS2,ontriscal:Gender,??finalquestionnaire,,schema:Interger,,,,,,,,
DS3,ontriscal:CivilStatus,??finalquestionnaire,,schema:Interger,,,,,,,,
G11,ontriscal:Anxiety,??finalquestionnaire,,schema:Interger,,,,,,,,
G14,ontriscal:BalanceDisorder,??finalquestionnaire,,schema:Interger,,,,,,,,
G16,ontriscal:Nervous,??finalquestionnaire,,schema:Interger,,,,,,,,
G18,ontriscal:InabilityToRelax,??finalquestionnaire,,schema:Interger,,,,,,,,
Pontuacao,ontriscal:Score,??finalquestionnaire,,schema:Interger,,,,,,,,
Nivelderisco,ontriscal:RiskLevel,??finalquestionnaire,,schema:String,,,,,,,,
??case,,,sio:Human,,,ontriscal:patientAnswersQuestionnaire,??finalquestionnaire,,,,,
??case,,,sio:Human,,,ontriscal:IdPatient,hasco:originalID,,,,,
??finalquestionnaire,,,ontriscal:Questionnarie,,,ontriscal:questionnaireAnsweredBy,??case,,,,,
