Selecionado;Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;;;
;Semantic annotation of 3D anatomical models to support diagnosis and follow-up analysis of musculoskeletal pathologies;International Journal of Computer Assisted Radiology and Surgery;;11;5;10.1007/s11548-015-1327-6;Imon BanerjeeChiara Eva CatalanoGiuseppe PatanéMichela Spagnuolo;2016;http://link.springer.com/article/10.1007/s11548-015-1327-6;Article;;;;;;
;On the use of semantic technologies for video analytics;Journal of Ambient Intelligence and Humanized Computing;;12;1;10.1007/s12652-020-02021-y;Luca GrecoPierluigi RitrovatoMario Vento;2021;http://link.springer.com/article/10.1007/s12652-020-02021-y;Article;;;;;;
;Health—exploring complexity: an interdisciplinary systems approach HEC2016;European Journal of Epidemiology;;31;1;10.1007/s10654-016-0183-1;Eva GrillMartin MüllerUlrich Mansmann;2016;http://link.springer.com/article/10.1007/s10654-016-0183-1;Article;;;;;;
;FAIR data representation in times of eScience: a comparison of instance-based and class-based semantic representations of empirical data using phenotype descriptions as example;Journal of Biomedical Semantics;;12;1;10.1186/s13326-021-00254-0;Lars Vogt;2021;http://link.springer.com/article/10.1186/s13326-021-00254-0;Article;;;;;;
;Semantic annotation in biomedicine: the current landscape;Journal of Biomedical Semantics;;8;1;10.1186/s13326-017-0153-x;Jelena JovanovićEbrahim Bagheri;2017;http://link.springer.com/article/10.1186/s13326-017-0153-x;Article;;;;;;
;CBSSD: community-based semantic subgroup discovery;Journal of Intelligent Information Systems;;53;2;10.1007/s10844-019-00545-0;Blaž ŠkrljJan KraljNada Lavrač;2019;http://link.springer.com/article/10.1007/s10844-019-00545-0;Article;;;;;;
;CARS 2016—Computer Assisted Radiology and Surgery Proceedings of the 30th International Congress and Exhibition Heidelberg; Germany; June 21–25;2016;International Journal of Computer Assisted Radiology and Surgery;;11;1;10.1007/s11548-016-1412-5;;2016;http://link.springer.com/article/10.1007/s11548-016-1412-5;Article;;;
;An overview of the BIOASQ large-scale biomedical semantic indexing and question answering competition;BMC Bioinformatics;;16;1;10.1186/s12859-015-0564-6;George TsatsaronisGeorgios BalikasProdromos MalakasiotisIoannis PartalasMatthias ZschunkeMichael R AlversDirk WeissenbornAnastasia KritharaSergios PetridisDimitris PolychronopoulosYannis AlmirantisJohn PavlopoulosNicolas BaskiotisPatrick GallinariThierry ArtiéresAxel-Cyrille Ngonga Ngomo;2015;http://link.springer.com/article/10.1186/s12859-015-0564-6;Article;;;;;;
;SLOG: smartphone-based semantic lifelogging framework for digital prosthetic memory development;Personal and Ubiquitous Computing;;;;10.1007/s00779-022-01701-0;Shaukat AliShah KhusroAkif KhanInayat KhanIftikhar AlamSalman Faiz Solehria;2022;http://link.springer.com/article/10.1007/s00779-022-01701-0;Article;;;;;;
;Semantics-driven annotation of patient-specific 3D data: a step to assist diagnosis and treatment of rheumatoid arthritis;The Visual Computer;;32;10;10.1007/s00371-016-1226-z;Imon BanerjeeAsan AgibetovChiara Eva CatalanoGiuseppe PatanéMichela Spagnuolo;2016;http://link.springer.com/article/10.1007/s00371-016-1226-z;Article;;;;;;
