Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
IDCase,hasco:originalID,??case,,schema:Interger,,,,,,,,
Age,ontriscal:Age,??socialdemographicdata,,schema:String,,,,,,,,
Gender,ontriscal:Gender,??socialdemographicdata,,schema:String,,,,,,,,
Sexuality,ontriscal:SexualOrientation,??socialdemographicdata,,schema:String,,,,,,,,
SocialClass,ontriscal:SocialClass,??socialdemographicdata,,schema:String,,,,,,,,
Territory_and_housing,ontriscal:GeographicArea,??socialdemographicdata,,schema:String,,,,,,,,
Education,ontriscal:EducationDegree,??socialdemographicdata,,schema:String,,,,,,,,
Job_Occupation,ontriscal:Occupation,??socialdemographicdata,,schema:String,,,,,,,,
Culture,ontriscal:Culture,??socialdemographicdata,,schema:String,,,,,,,,
Religion,ontriscal:Religion,??socialdemographicdata,,schema:String,,,,,,,,
AccessToRights,ontriscal:HumanRigth,??socialdemographicdata,,schema:String,,,,,,,,
Race,ontriscal:Race,??socialdemographicdata,,schema:String,,,,,,,,
CognitiveDisfunction,ontriscal:CognitiveAspect,??cognitivedisfunction,,schema:String,,,,,,,,
CoreBelief,ontriscal:CoreBelief,??corebelief,,schema:String,,,,,,,,
AnxietyInformation,ontriscal:Anxiety,??anxiety,,schema:String,,,,,,,,
Belief,ontriscal:Belief,??belief,,schema:String,,,,,,,,
CompensatoryStrategies,ontriscal:CopingStrategies,??compensatorystrategies,,schema:String,,,,,,,,
Emotion,ontriscal:Emotion,??emotion,,schema:String,,,,,,,,
Behaviour,ontriscal:BehaviorAspects,??behaviour,,schema:String,,,,,,,,
AutomaticThinking,ontriscal:AutomaticThinking,??automaticathinking,,schema:String,,,,,,,,
Situation,ontriscal:Situation,??situation,,schema:String,,,,,,,,
MeaningOfTheAt,ontriscal:Perfectionism,??meaningoftheat,,schema:String,,,,,,,,
Feeling,ontriscal:Feeling,??feeling,,schema:String,,,,,,,,
FocusOnTheProblem,ontriscal:HyperFocus,??focusontheproblem,,schema:String,,,,,,,,
??case,,,sio:Human,,,ontriscal:isComprehendedBy,ontriscal:CaseConceptualization,,,,,
??socialdemographicdata,,,ontriscal:SocioDemographicData,,,ontriscal:describes,??case,,,,,
??cognitivedisfunction,,,ontriscal:CognitiveAspect,,,ontriscal:generates,ontriscal:Thinking,,,,,
??cognitivedisfunction,,,ontriscal:CognitiveAspect,,,ontriscal:isInterpretedBy,ontriscal:CaseConceptualization,,,,,
??automaticathinking,,,ontriscal:AutomaticThinking,,,ontriscal:isInterpretedBy,ontriscal:CaseConceptualization,,,,,
??corebelief,,,ontriscal:CoreBelief,,,ontriscal:isInterpretedBy,ontriscal:CaseConceptualization,,,,,
??behaviour,,,ontriscal:BehaviorAspects,,,ontriscal:isInterpretedBy,ontriscal:CaseConceptualization,,,,,
??emotion,,,ontriscal:Emotion,,,ontriscal:isInterpretedBy,ontriscal:CaseConceptualization,,,,,
??situation,,,ontriscal:Situation,,,ontriscal:generates,??automaticthinking,,,,,
??automaticthinking,,,ontriscal:AutomaticThinking,,,ontriscal:generates,??emotion,,,,,
??emotion,,,ontriscal:Emotion,,,ontriscal:generates,??feeling,,,,,
??feeling,,,ontriscal:Feeling,,,ontriscal:generates,??behaviour,,,,,
