Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
id_case,hasco:originalID,??case,,schema:Interger,,,,,,,,
document,refiqda:NameOfDocument,??project,,schema:String,,,,,,,,
Source,refiqda:Textsource,??project,,schema:String,,,,,,,,
id_user,refiqda:User,??project,,schema:Interger,,,,,,,,
User,refiqda:NameOfUser,??project,,schema:String,,,,,,,,
id_project,refiqda:IdProject,??project,,schema:String,,,,,,,,
Project,refiqda:NameOfProject,??project,,schema:String,,,,,,,,
Fear,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
FearOfLosingControl,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
FearOfNegativeEvaluationByOthers,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
Frustration,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
Generalization,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
MaximizationOfTheNegative,refiqda:Thinking,??note,,schema:String,,,,,,,,
MinimizationOfThePositive,refiqda:Thinking,??note,,schema:String,,,,,,,,
ObjectPhobic,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
Perfectionism,refiqda:Thinking,??note,,schema:String,,,,,,,,
PredictionOfTheFuture,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
RuminantThoughts,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
SelfAwareness,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
Suppositions,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
Catastrophizing,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
CognitiveAspect,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
CognitiveDistortion,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
CognitiveRestructuring,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
CognitiveSymptoms,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
Devaluation,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
DifficultyOfReasoning,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
AvoidanceOfThreateningSignsOrSituations,refiqda:BehaviorAspects,??note,,schema:String,,,,,,,,
BehaviorAspects,refiqda:BehaviorAspects,??note,,schema:String,,,,,,,,
BehaviorSymptoms,refiqda:BehaviorAspects,??note,,schema:String,,,,,,,,
ContextualAspect,refiqda:ContextualAspect,??note,,schema:String,,,,,,,,
ManifestComplaint,refiqda:ContextualAspect,??note,,schema:String,,,,,,,,
EmotionalAspects,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
EmotionalReasoning,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
EmotionalSymptoms,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
Sadness,refiqda:EmotionalAspect,??note,,schema:String,,,,,,,,
CoreBelief,refiqda:CoreBelief,??note,,schema:String,,,,,,,,
IntermediateBelief,refiqda:IntermediateBelief,??note,,schema:String,,,,,,,,
ProblemSolving,refiqda:CopingStrategies,??note,,schema:String,,,,,,,,
NumberOfSessions,refiqda:StructureOfTreatmentProcess,??note,,schema:String,,,,,,,,
PatientHistory,refiqda:StructureOfTreatmentProcess,??note,,schema:String,,,,,,,,
ProcessDuration,refiqda:StructureOfTreatmentProcess,??note,,schema:String,,,,,,,,
SessionDuration,refiqda:StructureOfTreatmentProcess,??note,,schema:String,,,,,,,,
TherapeuticGoals,refiqda:StructureOfTreatmentProcess,??note,,schema:String,,,,,,,,
Psychopathology,refiqda:ClinicalHypothesis,??note,,schema:String,,,,,,,,
Anxiety,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
IncreasedHeartRate,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
LossOfSpatialPerception,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
