Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
id_case,hasco:originalID,??patient,,schema:Interger,,,,,,,,
initial_questionnarie,ontriscal:FullName,??beginningquestionnaire,,,,,,,,,,
feeling_of_suffocation_and_difficulty_breathing,ontriscal:QuestionScore,??feelingofsuffocationscore,,,,,,,,,,
inability_to_relax,ontriscal:QuestionScore,??inabilitytorelaxscore,,,,,,,,,,
muscle_tension,ontriscal:QuestionScore,??muscletensionscore,,,,,,,,,,
sweat,ontriscal:QuestionScore,??sweatscore,,,,,,,,,,
finalscore,ontriscal:FinalScore,??finalscore,,,,,,,,,,
risklevel,ontriscal:RiskLevel,??risklevel,,,,,,,,,,
final_questionnarie,ontriscal:FullName,??finalquestionnaire,,,,,,,,,,
feeling_of_suffocation_and_difficulty_breathing_final,ontriscal:QuestionScore,??feelingofsuffocation_scorefinal,,,,,,,,,,
inability_to_relax_final,ontriscal:QuestionScore,??inabilitytorelax_scorefinal,,,,,,,,,,
muscle_tension_final,ontriscal:QuestionScore,??muscletension_scorefinal,,,,,,,,,,
sweat_final,ontriscal:QuestionScore,??sweat_scorefinal,,,,,,,,,,
finalscore_final,ontriscal:FinalScore,??finalscore_final,,,,,,,,,,
risklevel_final,ontriscal:RiskLevel,??risklevel_final,,,,,,,,,,
??patient,,,hasco:originalID,,,rdf:type,sio:Human,,,,,
??beginningquestionnaire,,,ontriscal:FullName,,,ontriscal:isNameOf,ontriscal:Instrument,,,,,
??patient,,,hasco:originalID,,,ontriscal:patientAnswers,??beginningquestionnaire,,,,,
??feelingofsuffocationscore,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:FeelingOfSuffocationAndDifficultyBreathing,,,,,
??feelingofsuffocationscore,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??beginningquestionnaire,,,,,
??inabilitytorelaxscore,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:InabilityRelax,,,,,
??inabilitytorelaxscore,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??beginningquestionnaire,,,,,
??muscletensionscore,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:MuscleTension,,,,,
??muscletensionscore,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??beginningquestionnaire,,,,,
??sweatscore,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:Sweat,,,,,
??sweatscore,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??beginningquestionnaire,,,,,
??finalscore,,,ontriscal:FinalScore,,,ontriscal:isItemOf,??beginningquestionnaire,,,,,
??risklevel,,,ontriscal:RiskLevel,,,ontriscal:isItemOf,??beginningquestionnaire,,,,,
??patient,,,hasco:originalID,,,ontriscal:patientRecevies,??risklevel,,,,,
??finalquestionnaire,,,ontriscal:FullName,,,ontriscal:isNameOf,ontriscal:Instrument,,,,,
??patient,,,hasco:originalID,,,ontriscal:patientAnswers,??finalquestionnaire,,,,,
??feelingofsuffocation_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:FeelingOfSuffocationAndDifficultyBreathing,,,,,
??feelingofsuffocation_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??finalquestionnaire,,,,,
??inabilitytorelax_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:InabilityRelax,,,,,
??inabilitytorelax_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??finalquestionnaire,,,,,
??muscletension_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:MuscleTension,,,,,
??muscletension_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??finalquestionnaire,,,,,
??sweat_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:anwseredByQuestion,ontriscal:Sweat,,,,,
??sweat_scorefinal,,,ontriscal:QuestionScore,,,ontriscal:isItemOf,??finalquestionnaire,,,,,
??finalscore_final,,,ontriscal:FinalScore,,,ontriscal:isItemOf,??finalquestionnaire,,,,,
??risklevel_final,,,ontriscal:RiskLevel,,,ontriscal:isItemOf,??finalquestionnaire,,,,,
??patient,,,hasco:originalID,,,ontriscal:patientRecevies,??risklevel_final,,,,,
