Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
id_case,hasco:originalID,??case,,schema:Interger,,,,,,,,
final_questionnarie,ontriscal:FullName,??finalquestionnaire,,,,,,,,,,
warm_sensation,ontriscal:WarmSensation,??finalquestionnaire,,,,,,,,,,
leg_shaking,ontriscal:LegShaking,??finalquestionnaire,,,,,,,,,,
inability_to_relax,ontriscal:InabilityToRelax,??finalquestionnaire,,,,,,,,,,
fear_of_the_worst_happening,ontriscal:FearOfTheWorstHappening,??finalquestionnaire,,,,,,,,,,
dizziness,ontriscal:Dizziness,??finalquestionnaire,,,,,,,,,,
accelerated_heart,ontriscal:AcceleratedHeart,??finalquestionnaire,,,,,,,,,,
balance_disorder,ontriscal:BalanceDisorder,??finalquestionnaire,,,,,,,,,,
tremor,ontriscal:Tremor,??finalquestionnaire,,,,,,,,,,
nervous,ontriscal:Nervous,??finalquestionnaire,,,,,,,,,,
feeling_of_suffocation,ontriscal:FeelingOfSuffocation,??finalquestionnaire,,,,,,,,,,
hand_tremor,ontriscal:HandTremor,??finalquestionnaire,,,,,,,,,,
difficulty_breathing,ontriscal:DifficultyBreathing,??finalquestionnaire,,,,,,,,,,
fear_to_die,ontriscal:FearToDie,??finalquestionnaire,,,,,,,,,,
get_scared,ontriscal:GetScared,??finalquestionnaire,,,,,,,,,,
feeling_faint,ontriscal:FeelingFaint,??finalquestionnaire,,,,,,,,,,
flushed_face,ontriscal:FlushedFace,??finalquestionnaire,,,,,,,,,,
sweat,ontriscal:Sweat,??finalquestionnaire,,,,,,,,,,
final_score_bai_scale,ontriscal:Score,??finalquestionnaire,,,,,,,,,,
final_risk_level,ontriscal:RiskLevel,??finalquestionnaire,,,,,,,,,,
??case,,,sio:Human,,,ontriscal:patientAnswersQuestionnaire,??finalquestionnaire,,,,,
??finalquestionnaire,,,ontriscal:Questionnarie,,,ontriscal:questionnaireAnsweredBy,??case,,,,,
