Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
Id_case,hasco:originalID,??case,,schema:Interger,,,,,,,,
q1_ansiedade_no_trabalho,ontriscal:AnxietyinWork,??beginningquestionnaire,,,,,,,,,,
q12_ansiedade_durante_aterrissagem,ontriscal:AnxietyDuringLanding,??beginningquestionnaire,,,,,,,,,,
initial_score_bdi_scale,ontriscal:InitialBDIScore,??beginningquestionnaire,,,,,,,,,,
initial_score_bai_scale,ontriscal:InitialBAIScore,??beginningquestionnaire,,,,,,,,,,
risk_level,ontriscal:RiskLevel,??beginningquestionnaire,,,,,,,,,,
final_score_bdi_scale,ontriscal:FinalBDIScore,??beginningquestionnaire,,,,,,,,,,
final_score_bai_scale,ontriscal:FinalBAIScore,??beginningquestionnaire,,,,,,,,,,
risklevel_final,ontriscal:Score,??beginningquestionnaire,,,,,,,,,,
??case,,,sio:Human,,,ontriscal:patientAnswersQuestionnaire,??beginningquestionnaire,,,,,
??beginningquestionnaire,,,ontriscal:Questionnarie,,,ontriscal:questionnaireAnsweredBy,??case,,,,,
